UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
American Career College-Long Beach,americancareercollege.edu,CA,,,,,,,,,,,,,,,,,,
American Career College-Los Angeles,americancareercollege.edu,CA,,,,,,1284,109,,,,,2038,,,,,,
American Career College-Lynwood,americancareercollege.edu,CA,,,,,,,0,,,,,362,,,,,,
American Career College-Ontario,americancareercollege.edu,CA,,,,,,1280,118,,,,,2059,,,,,,
American College for Medical Careers,www.acmc.edu,FL,,,,,,226,149,1,,,,576,,,,,,
American College of Acupuncture and Oriental Med,www.acaom.edu,TX,,,,,,0,0,0,,,,,,,,,,
American College of Barbering,www.americancollegeofbarbering.com,KY,,,,,,69,0,,,,,127,,,,,,
American College of Barbering - Florence,,KY,,,,,,,,,,,,,,,,,,
American College of Education,www.ace.edu,IN,,,,,,43,0,0,,,,29,,,,,,
American College of Financial Services,https://www.theamericancollege.edu,PA,,,,,,9121,0,0,,,,13805,,,,,,9121
American College of Hair Design Inc,www.americancollegeofhairdesign.com,MO,,,,,,28,0,,,,,33,,,,,,
American College of Hairstyling-Des Moines,www.americancollegeofhair.com,IA,,,,,,22,0,,,,,41,,,,,,
American College of Healthcare and Technology,www.ach.edu,CA,,,,,,73,0,,,,,364,,,,,,
American College of Healthcare and Technology,www.ach.edu,CA,,,,,,52,0,,,,,254,,,,,,
American College of Healthcare Sciences,www.achs.edu,OR,,,17716,17716,100,474,78,0,,,,820,,,,,,1
American Conservatory Theater,www.act-sf.org,CA,,,35766,35766,,11,0,0,,,,84,,,,,,
American Film Institute Conservatory,www.AFI.com,CA,,,,,,0,0,0,,,,,,,,,,
American Hair Academy,americanhairacademy.com,IA,,,,,,23,0,,,,,37,,,,,,
American Indian OIC Inc,www.aioic.org,MN,,,,,,37,0,,,,,58,,,,,,
American Institute of Alternative Medicine,www.aiam.edu,OH,,,20807,20807,80,410,80,0,,,,543,,,,,,
American Institute of Alternative Medicine,massageschoolnewjersey.com,NJ,,,,,,35,0,,,,,47,,,,,,
American Institute of Beauty,www.aibschool.edu,FL,,,,,,87,0,,,,,403,,,,,,
American Institute of Interior Design,https://www.aiid.edu,AZ,,,,,,19,0,,,,,47,,,,,,
American Institute of Massage Therapy,www.aimtinc.com,CA,,,,,,20,0,,,,,70,,,,,,
American Institute of Medical Sciences & Education,www.aimseducation.edu,NJ,,,,,,425,0,,,,,658,,,,,,
American Institute of Medical Technology,www.aimt.edu,OK,,,,,,85,0,,,,,125,,,,,,
American Institute of Trucking,www.ait-schools.com,AZ,,,,,,,0,,,,,1035,,,,,,
American Institute-Clifton,www.americaninstitute.com,NJ,,,,,,655,0,,,,,1032,,,,,,
American Institute-Somerset,www.americaninstitute.com,NJ,,,,,,200,0,,,,,183,,,,,,
American Institute-Toms River,www.americaninstitute.com/,NJ,,,,,,346,0,,,,,559,,,,,,
American Institute-West Hartford,americaninstitute.com,CT,,,,,,422,0,,,,,633,,,,,,
American InterContinental University,www.aiuniv.edu,IL,,,13078,13078,,7940,520,1180,,,,17053,,,,,,4280
American InterContinental University-Atlanta,www.aiuniv.edu/online-campus/campus-locations/atlanta,GA,,,15158,15158,,1603,116,298,,,,3519,,,,,,841
American InterContinental University-Houston,www.aiuniv.edu/online-campus/campus-locations/houston,TX,,,18248,18248,,257,22,84,,,,530,,,,,,118
American International College,www.aic.edu,MA,52680,52680,40340,40340,68,1336,0,257,460,460,16,1425,,,27,,2,169
American Islamic College,www.aicusa.edu,IL,,,,,,9,0,2,,,,16,,,,,,
American Jewish University,www.aju.edu,CA,54615,54615,38783,38783,96,68,0,18,,,,80,,,13,,,16
American Massage & Bodywork Institute,www.ambimassageschool.com,VA,,,,,,83,0,,,,,128,,,,,,
American Medical Academy,WWW.AMA.EDU,FL,,,,,,461,40,,,,,769,,,,,,
American Medical Sciences Center,www.amsc.edu,CA,,,,,,30,16,,,,,112,,,,,,
American Musical and Dramatic Academy,www.amda.edu,NY,56700,56700,42900,42900,24,1676,0,235,,,,1722,,,,,,
American National University,https://www.an.edu/locations/,VA,,,23156,23156,,1020,112,36,,,,2146,,,,,,148
American National University-Dayton,https://www.an.edu/locations/dayton-oh/,OH,,,23156,23156,,,10,,,,,27,,,,,,
American National University-Lexington,https://www.an.edu/locations/,KY,,,23124,23124,,299,64,1,,,,529,,,,,,
American National University-Youngstown,https://www.an.edu/locations/youngstown-oh/,OH,,,23156,23156,,,5,,,,,49,,,,,,
American Public University System,www.apus.edu,WV,,,9176,9176,,37746,2232,5956,,,,71911,10,409,,261,,9088
American River College,www.arc.losrios.edu/,CA,,,15075,7467,,31366,1977,,,,,46394,,,,,,
American Sentinel University,www.americansentinel.edu,CO,,,12548,12548,,1444,0,475,,,,1686,,,,,,
American Trade School,www.americantradeschool.edu,MO,,,,,,120,7,,,,,132,,,,,,
American University,WWW.AMERICAN.EDU,DC,66268,66268,50868,50868,32,8287,0,1768,630,590,27,8721,52,,222,42,26,1115
American University of Health Sciences,www.auhs.edu,CA,,,27950,27950,,293,0,55,,,,397,,,,,,
AmeriTech College-Draper,www.ameritech.edu,UT,,,21276,21276,68,723,238,67,,,,1119,,,,,,
AmeriTech College-Provo,www.ameritech.edu,UT,,,,,81,19,0,,,,,16,,,,,,
AMG School of Licensed Practical Nursing,amg.edu,NY,,,,,,230,0,,,,,224,,,,,,
Amherst College,www.amherst.edu,MA,73966,73966,59226,59226,13,1855,0,465,660,670,31,1946,,,139,167,65,
Amridge University,www.amridgeuniversity.edu,AL,,,10000,10000,,351,25,40,,,,440,,,,,,163
Amslee Institute,www.amsleeinstitute.com,FL,,,,,,5,0,,,,,,,,,,,
Anabaptist Mennonite Biblical Seminary,www.ambs.edu,IN,,,,,,0,0,0,,,,,,,,,,
Ancilla College,https://www.ancilla.edu/,IN,28890,28890,19290,19290,69,415,126,,410,400,15,627,,,,,,
Anderson University,https://anderson.edu,IN,45290,45290,34450,34450,65,1445,2,358,500,500,19,1648,178,52,58,7,3,170
Anderson University,www.andersonuniversity.edu,SC,43110,43110,34410,34410,62,2881,0,598,540,418,20,3361,512,2,149,37,,447
Andover Newton Theological School,andovernewton.yale.edu/about,MA,,,,,,0,0,0,,,,,,,,,,
Andrew College,www.andrewcollege.edu,GA,37528,37528,,,43,293,33,0,420,400,14,327,20,,13,5,3,34
Andrews University,www.andrews.edu,MI,40566,40566,31488,31488,66,1702,1,318,540,500,21,2348,55,74,170,10,12,127
Angeles College,www.angelescollege.edu,CA,,,,,,263,0,19,,,,322,,,,,,38
Angeles Institute,www.angelesinstitute.edu/,CA,,,,,,110,0,,,,,102,,,,,,
Angelina College,www.angelina.edu,TX,15741,14391,11985,10635,,4919,377,,,,,6831,,,,,,
Angelo State University,www.angelo.edu,TX,31006,21046,21876,11916,73,8672,0,983,460,460,17,9427,,158,330,74,159,961
Ann Webb Skin Institute,awskininstitute.com,TX,,,,,,134,0,,,,,183,,,,,,
